time_sec,heart_rate_bpm,spo2_percent,bp_systolic,bp_diastolic,motion
0,81.54661113485983,98.71754369961111,116.42751954348452,78.7423408665329,0.2248357076505616
1,74.82306164289098,97.82634885552108,120.76672383801058,73.61773101511109,0.1930867849414407
2,76.61248405107604,98.72663773802128,122.94317729898135,80.13752728903174,0.2323844269050346
3,76.59955637292602,97.96088467047076,123.64172606534773,79.5329440088737,0.2761514928204013
4,80.97282948117535,97.07905111352107,124.13853999117131,73.6814901897793,0.1882923312638332
5,80.13922009951737,98.44603379986586,124.84615293805987,77.63479421321385,0.1882931521525409
6,79.30133565893368,97.7050538411222,118.60558181263416,82.38829024404544,0.2789606407753696
7,73.68565777957576,98.34934440675852,130.26570091870605,75.45420024535719,0.2383717364576454
8,77.26641741642679,98.01260543377003,118.22615739420618,75.03128372108603,0.1765262807032524
9,78.23348570630932,97.22844088602857,120.54670288170456,78.70046551203305,0.2271280021792982
10,74.09509329131515,98.08214738268528,126.47913535886346,82.49172907924786,0.1768291153593769
11,73.57857791782737,99.0981115710764,122.83212513993882,87.24131036289079,0.1767135123214871
12,81.54347970383355,98.24649322925724,108.79576627988632,82.63574141941473,0.2120981135783017
13,74.8002715261962,97.97124112349726,120.02817915148428,84.33931096062443,0.1043359877671101
14,80.6110410288187,98.53767170097844,124.30982378043244,81.38679051400665,0.1137541083743483
15,79.14889566181198,98.10533423260156,113.2826486023522,77.25953608142908,0.1718856235379513
16,77.22952881181469,98.1047671151314,123.75346397564492,82.60684430638764,0.1493584439832788
17,77.8103728237739,97.45418741392044,121.95076970006728,79.65756780428751,0.2157123666297637
18,71.83993248046488,98.1169240128948,125.91960241925686,81.50813535131205,0.1545987962239394
19,76.4917045120896,98.51772170820848,116.5403433883068,76.21588069459615,0.1293848149332354
20,81.09156237117466,97.58196892395,124.97946707794624,81.86578320335923,0.2732824384460777
21,78.31494960775353,98.71224791062347,120.79804123700416,79.51796721293641,0.1887111849756732
22,76.83270844149764,97.95414698792744,128.83025152026144,80.92503098873634,0.2033764102343962
23,81.00300120746506,97.55611524423072,133.9302496890666,79.65970730069947,0.1287625906893271
24,75.60852148658763,98.49881603846012,127.69165219526276,78.89118753863328,0.1727808637737408
25,74.52564396906473,97.85660288213089,122.40259339054111,81.93876311847363,0.2055461294854933
26,76.42086942337833,98.37975744374306,131.605019980309,78.37563548443374,0.1424503211288848
27,78.77287350682484,97.85412068387072,123.01739020833992,73.64524747848964,0.2187849009172836
28,70.99131774812051,97.97008692823503,115.46027143238692,72.50411969727021,0.1699680655040597
29,77.10334000408552,98.24678010216716,119.80363346524211,80.73766627770792,0.1854153125103361
30,78.57537547027557,98.145448528795,123.808360931475,78.21112874108458,0.1699146693885301
31,76.16176974429037,97.00223410977414,124.12977077810032,73.0836032902718,0.2926139092254469
