time_sec,heart_rate_bpm,spo2_percent,bp_systolic,bp_diastolic,motion,hr_mean_30s,hr_std_30s,hr_slope_30s,spo2_mean_30s,spo2_delta_from_baseline,spo2_seconds_below_94,spo2_slope_60s,sys_bp_mean_60s,sys_bp_slope_60s,motion_mean_10s,high_motion_flag
59,77.66540214336683,97.23641607170518,121.22702030602906,77.64893638011536,0.2487772563561179,75.95715615484282,3.047356722084807,-0.0463755003473708,97.89166003008454,-0.07606982419308395,0.0,-0.0035578292928915138,121.51218530341131,-0.03389313182803509,0.209972071392888,0
60,73.16216024705128,97.47245531591165,123.51656530728796,85.2483376644289,0.1760412881077355,75.776715647402,3.047244505408515,-0.04635104707652308,97.86922692298843,-0.09850293128918963,0.0,-0.003186863653839938,121.63033606614137,-0.03922534052841818,0.2059557803566876,0
61,72.93321776790853,98.06313386811703,119.38838308933629,83.7444097407878,0.1907170511668091,75.66909724818927,3.0898891573368608,-0.06204064919037612,97.90459024826652,-0.0631396060111058,0.0,-0.0032888814585805243,121.60736372033013,-0.04436442281648453,0.2069528968754501,0
62,76.27322927110362,97.50767260757635,128.23184198037498,75.52775828807269,0.1446832512996985,75.55609461731378,2.9994436362905272,-0.03059674082795401,97.90686673085399,-0.06086312342362987,0.0,-0.002788736511569968,121.69550813168668,-0.031240531578908822,0.20480583200694974,0
63,70.9648818892418,97.6037382764424,132.70809923359397,84.6541034385053,0.1401896687959664,75.3244458257237,3.078351849972809,-0.04395366797046097,97.8781678403222,-0.08956201395541541,0.0,-0.0033612543152295557,121.84661435115746,-0.009888429079162,0.19576641744234205,0
64,70.18616057494857,97.78820070913592,123.53115487383536,79.67748476620076,0.2406262911197099,74.89571478276294,2.8529731088573054,-0.02383737099448244,97.87331014044177,-0.09441971383584757,0.0,-0.005106160856231997,121.83649126586853,-0.0032422675098692463,0.1946740489418333,0
65,78.40215876410394,97.31719129790493,121.1399558185453,83.19844650422498,0.2678120014285411,75.05298528532309,2.9132822670483853,-0.009571504142535948,97.8592787054181,-0.10845114885951546,0.0,-0.005345702312122548,121.77472131387661,0.0007169925793671985,0.1967988484891064,0
66,79.469620108706,97.5129390768918,123.12291154658622,79.34676817999397,0.1963994939209833,75.07165858314528,2.940521289084647,0.04551902365020184,97.8656862415688,-0.102043612708826,0.0,-0.006457513107253613,121.85001014277582,-0.0024442823816206083,0.2006348854973179,0
67,75.2844789990035,98.35171395839366,114.49483457058176,84.7433167949687,0.2501766448946012,75.1599716023221,2.9043827809023326,0.030088126457106287,97.89540564553653,-0.0723242087410938,0.0,-0.005091589197160292,121.58716237030708,-0.00023806458300233794,0.2071986118660341,0
68,74.46452421426349,97.34631510888453,120.90052733732708,75.3615175538408,0.2180818012523817,75.27366885696539,2.8030853823544652,-0.0027183896945682066,97.90731279316537,-0.060417061112246984,0.0,-0.005944735822680563,121.63173520269243,-0.007060314388168516,0.20735047483425445,0
